Gene,Group 1 Fold Regulation,Comments,Group 2 Fold Regulation,Comments,Group 3 Fold Regulation,Comments,Group 4 Fold Regulation,Comments
Adora1,1.07,,-2.13,A,-3.25,A,-2.06,A
Ahsg,-1.22,A,1.21,A,-1.57,A,-1.84,A
Aif1,-3.34,,-2.02,,-1.57,,-1.62,
Aimp1,-1.64,,-2,,-2.2,,-1.45,
Apcs,2.14,C,5.91,,2.1,C,3.04,C
Apoa2,-1.66,A,1.94,,-1.1,A,-2.55,A
Apol7a,-1.13,A,-1.12,A,3.88,,-1.1,A
Apol8,14.13,,5.76,,4.41,,15.13,
Areg,1.53,,1.81,,-1.28,,2.69,
Bcl6,-3.36,,-1.98,,-4.2,,-2.85,
Blnk,-1.28,,-1.56,,-1.69,,-1.35,
Bmp1,-2.22,,-1.72,,-2.26,,-1.33,
Bmp2,-3.42,A,-2.07,A,-4.13,A,-2.22,A
Bmp3,-6.92,,-3.16,,-8.76,,-4.07,
Bmp7,-2.88,A,-2.53,A,-10,A,-3.49,A
C3,-1.31,,-1.31,,-2.65,,-1.61,
C3ar1,-3.41,A,-2.28,A,-2.49,A,-1.91,A
C4a,-1.12,,-1.47,,-1.5,,-1.36,
Cast,-2.1,,-1.59,,-2.32,,-1.12,
Ccl1,1.26,,1.16,,2.54,,1.79,
Ccl11,3.55,,3.26,,3.83,,3.43,
Ccl12,1.34,,-1.7,,3.23,,1.49,
Ccl17,2.11,,-1.8,,1.09,,1.64,
Ccl19,3.87,,1.59,,3.98,,3.93,
Ccl2,4.56,,1.11,,3.27,,2.86,
Ccl20,87.75,,6.51,,61.45,,29.26,
Ccl22,1.42,,-1.77,A,-1.68,A,1.05,A
Ccl24,-1.36,,-1.42,,-2.53,,-1.74,
Ccl25,-1.46,A,-1.27,,-2.31,A,-2.38,A
Ccl28,1.19,,-1.79,,1.2,,-1.03,
Ccl3,4.78,,-1.5,,2.3,,4.08,
Ccl4,10.48,,1.49,,6.92,,7.89,
Ccl5,-555.06,A,-2.04,,-2.09,,-1.22,
Ccl6,2.39,,1.43,,1.2,,1.7,
Ccl7,7.75,,1.44,,5.43,,7.43,
Ccl8,1.57,,1.15,,3.42,,-1.74,A
Ccl9,5.47,,1.6,,2.45,,2.62,
Ccr1,3.75,,-1.01,,1.3,,2.44,
Ccr10,-9.43,A,-3.37,A,-6.66,A,-11.18,A
Ccr2,-3.4,,-3.39,,-3.32,,-2.48,
Ccr3,-4.36,,-2.92,,-2.93,,-2.94,
Ccr4,-1.65,,-3.63,,-6.57,,-1.52,
Ccr5,-3.52,A,-2.05,,-2.04,,-2.67,A
Ccr6,-1.63,,-1.31,,-3.47,A,-1.55,
Ccr7,1.26,,-1.35,,-3.08,,-1.01,
Ccr8,-1.18,A,-1.24,A,-1.42,A,1.43,A
Ccr9,-1.63,A,-1.51,A,-1.4,A,-1.95,A
Ackr4,-6.19,,-3.92,,-8.15,,-4.14,
Ccrl2,1.06,,-2.16,,1.27,,-1.06,
Cd14,5.42,,-1.23,,2.49,,2.85,
Cd180,-2.88,A,-3.61,A,-3.6,A,-5.56,A
Cd27,-2.51,,-2.46,,-4.46,,-1.66,
Cd28,-1.8,A,-2.47,A,-4.02,A,-3.31,A
Cd4,-1.35,A,-1.37,A,-2.89,A,-2.2,A
Cd40,-1.46,,-1.66,,1.13,,1.04,
Cd40lg,-3.29,,-1.74,,-5.02,,-2.52,
Cd70,-1.07,,2.28,,-1.46,,3.08,
Cd74,2.39,,2,,1.78,,2.52,
Cd86,-1.16,,-1.45,,1.26,,-1.05,
Adgre5,1.02,,1.64,,-1.23,,1.76,
Cebpb,2.09,,1.27,,-1.14,,1.27,
Cer1,2.14,C,1.97,C,2.1,C,3.04,C
Cklf,-2,,-1.28,,-1,,1.45,
Clcf1,-1.27,,-1.35,,-4.95,A,-1.41,
Cmtm1,1.71,,3.21,,1.33,,1.42,
Cmtm2a,2.14,C,1.97,C,2.1,C,3.04,C
Cntfr,-1.42,A,1.2,,-1.27,,-1.41,A
Crp,1.49,,1.37,,1.46,,2.12,
Csf1,-1.61,,-2.61,,-1.97,,-1.6,
